timestamp,top_bid_price,top_bid_qty,top_ask_price,top_ask_qty,spread
1747431048.5011532,104385.9,207.97,103514.4,899.89,-871.5
1747431048.5022137,104385.9,207.97,103514.4,900.33,-871.5
1747431048.5022137,104385.9,207.97,103514.4,899.71,-871.5
1747431048.5810297,104385.9,207.97,103514.4,899.71,-871.5
1747431048.670717,104385.9,207.97,103514.4,899.71,-871.5
1747431048.7096019,104385.9,207.97,103514.4,899.68,-871.5
1747431048.823825,104385.9,207.97,103514.4,899.68,-871.5
1747431048.9072218,104385.9,207.97,103514.4,899.45,-871.5
1747431049.0804732,104385.9,207.97,103514.4,899.42,-871.5
1747431049.1164954,104385.9,207.97,103514.4,898.01,-871.5
1747431049.2076824,104385.9,207.97,103514.4,898.01,-871.5
1747431049.303272,104385.9,207.97,103514.4,897.31,-871.5
1747431049.4063675,104385.9,207.97,103514.4,897.36,-871.5
1747431049.5048938,104385.9,207.97,103514.4,897.36,-871.5
1747431049.6515698,104385.9,207.97,103514.4,897.36,-871.5
1747431049.7357368,104385.9,207.97,103514.4,897.41,-871.5
1747431049.8036456,104385.9,207.97,103514.4,897.41,-871.5
1747431049.9072356,104385.9,207.97,103514.4,897.41,-871.5
1747431050.0043786,104385.9,207.97,103514.4,897.37,-871.5
1747431050.1327975,104385.9,207.97,103514.4,897.37,-871.5
1747431050.2278364,104385.9,207.97,103514.4,896.3,-871.5
1747431050.3200831,104385.9,207.97,103514.4,893.48,-871.5
1747431050.4175856,104385.9,207.97,103514.4,892.96,-871.5
1747431050.5668588,104385.9,207.97,103514.4,892.95,-871.5
1747431050.6084816,104385.9,207.97,103514.4,892.96,-871.5
1747431050.7205656,104385.9,207.97,103514.4,892.96,-871.5
1747431050.7975068,104385.9,207.97,103514.4,892.96,-871.5
1747431050.9082842,104385.9,207.97,103514.4,892.96,-871.5
1747431051.0034451,104385.9,207.97,103514.4,892.15,-871.5
1747431051.0986843,104385.9,207.97,103514.4,891.62,-871.5
1747431051.2100468,104385.9,207.97,103514.4,891.61,-871.5
1747431051.3686175,104385.9,207.97,103514.4,890.92,-871.5
1747431051.4004135,104385.9,207.97,103514.4,890.95,-871.5
1747431051.5443532,104385.9,207.97,103514.4,890.95,-871.5
1747431051.750826,104385.9,207.97,103514.4,890.95,-871.5
1747431051.750826,104385.9,207.97,103514.4,890.91,-871.5
1747431051.7981355,104385.9,207.97,103514.4,890.91,-871.5
1747431051.941393,104385.9,207.97,103514.4,890.91,-871.5
1747431052.0045512,104385.9,207.97,103514.4,890.91,-871.5
1747431052.1154375,104385.9,207.97,103514.4,890.91,-871.5
1747431052.210146,104385.9,207.97,103514.4,890.9,-871.5
1747431052.3526583,104385.9,207.97,103514.4,865.3,-871.5
1747431052.3995237,104385.9,207.97,103514.4,864.74,-871.5
1747431052.5274782,104385.9,207.97,103514.4,864.73,-871.5
1747431052.6069837,104385.9,207.97,103514.4,864.73,-871.5
1747431052.911434,104385.9,207.97,103514.4,879.78,-871.5
1747431052.911434,104385.9,207.97,103514.4,879.78,-871.5
1747431052.911434,104385.9,207.97,103514.4,879.78,-871.5
1747431053.012602,104385.9,207.97,103514.4,879.78,-871.5
1747431053.1827981,104385.9,207.97,103514.4,878.96,-871.5
1747431053.198741,104385.9,207.97,103514.4,878.81,-871.5
1747431053.341511,104385.9,207.97,103514.4,877.93,-871.5
1747431053.4061232,104385.9,207.97,103514.4,877.93,-871.5
1747431053.5011423,104385.9,207.97,103514.4,877.93,-871.5
1747431053.5962925,104385.9,207.97,103514.4,877.93,-871.5
1747431053.7077236,104385.9,207.97,103514.4,877.93,-871.5
1747431053.8035085,104385.9,207.97,103514.4,877.9,-871.5
1747431053.8987195,104385.9,207.97,103514.4,877.9,-871.5
1747431054.0593576,104385.9,207.97,103514.4,877.9,-871.5
1747431054.1051319,104385.9,207.97,103514.4,877.9,-871.5
1747431054.2002754,104385.9,207.97,103514.4,877.9,-871.5
1747431054.2983918,104385.9,207.97,103514.4,876.48,-871.5
1747431054.4072196,104385.9,207.97,103514.4,877.44,-871.5
1747431054.5030632,104385.9,207.97,103514.4,877.44,-871.5
1747431054.6113467,104385.9,207.97,103514.4,877.44,-871.5
1747431054.7121558,104385.9,207.97,103514.4,877.44,-871.5
1747431054.8075454,104385.9,207.97,103514.4,877.44,-871.5
1747431055.0000937,104385.9,207.97,103514.4,877.44,-871.5
1747431055.0000937,104385.9,207.97,103514.4,877.44,-871.5
1747431055.0953968,104385.9,207.97,103514.4,876.79,-871.5
1747431055.206497,104385.9,207.97,103514.4,876.22,-871.5
1747431055.3044248,104385.9,207.97,103514.4,875.78,-871.5
1747431055.3970077,104385.9,207.97,103514.4,876.34,-871.5
1747431055.5080407,104385.9,207.97,103514.4,876.34,-871.5
1747431055.6344838,104385.9,207.97,103514.4,876.34,-871.5
1747431055.6977954,104385.9,207.97,103514.4,876.34,-871.5
1747431055.8082764,104385.9,207.97,103514.4,876.3,-871.5
1747431055.9033034,104385.9,207.97,103514.4,876.3,-871.5
1747431056.004332,104385.9,207.97,103514.4,876.3,-871.5
1747431056.0997002,104385.9,207.97,103514.4,876.3,-871.5
1747431056.1990676,104385.9,207.97,103514.4,873.18,-871.5
1747431056.3056357,104385.9,207.97,103514.4,876.34,-871.5
1747431056.4006884,104385.9,207.97,103514.4,875.71,-871.5
1747431056.49603,104385.9,207.97,103514.4,875.73,-871.5
1747431056.6072478,104385.9,207.97,103514.4,875.74,-871.5
1747431056.7040563,104385.9,207.97,103514.4,875.74,-871.5
1747431056.8081722,104385.9,207.97,103514.4,875.74,-871.5
1747431056.8950503,104385.9,207.97,103514.4,875.74,-871.5
1747431057.0057845,104385.9,207.97,103514.4,875.74,-871.5
1747431057.1024451,104385.9,207.97,103514.4,874.93,-871.5
1747431057.214357,104385.9,207.97,103514.4,874.38,-871.5
1747431057.3098977,104385.9,207.97,103514.4,873.65,-871.5
